,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,book_chapter,work_in_event,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,participation_event,name,first_doc,institution,ind_prod,min_book_year,min_book_chapter_year,min_article_year,min_work_in_event_year,min_text_in_newspaper_magazine_year,min_patent_year,min_guidance_year,min_software
77,5b9d724d-96f9-4d22-976e-f8a719dce60c,,,,,12,18,10,6,7,9,6,8,1,4,5,135,Pós-Doutorado,2,28,2,38,7,18,,4,,,54,Fernanda Amato Gaiotto,2001,UESC,48.33,,1998,1997,1992,,,2003.0,
78,09d5f713-d5a9-4aa3-ae62-8bf28ace7104,,,,3,7,14,6,9,7,6,7,3,8,11,19,208,Pós-Doutorado,,42,3,25,7,7,,1,,7,58,Edvania Gomes da Silva,2006,UESB,37.22,2007,2008,1999,1999,2014,,2006.0,
79,4c256015-e944-4523-9507-b8359253b55d,,,,,1,1,1,1,2,,1,,1,,2,5,Doutorado,2,2,3,,,,,2,,2,36,Alex Sandro Beckhauser,2021,UEFS,4.5,,2011,2011,2017,,,2020.0,
80,7c6894b2-b8f7-439b-8636-cc8b532afc04,,,,4,,,1,2,,,,3,3,4,7,86,Mestrado,21,16,,,,,,13,,,128,Rubens Silva Carvalho,None,UNEB,2.375,2021,2019,2009,2006,2015,,2014.0,
81,8f23f811-6e26-4ef0-bb3a-f0fb90004ee7,,,,8,3,8,3,4,2,3,4,2,1,5,28,49,Pós-Doutorado,,46,1,18,9,1,,41,,4,26,Rafael Siqueira de Guimarães,2007,UFSB,18.11,2010,2003,2003,2001,2002,,2002.0,
82,ec33bd63-ab64-45f7-8b21-0c32909f6aee,,,,11,,1,,5,13,,,,,,42,36,Pós-Doutorado,,4,10,16,,,,21,,9,117,Cláudia Paranhos de Jesus Portela,2013,UNEB,10.5,2014,2004,2014,2002,2019,,2003.0,
83,1f4fb902-a258-40bc-aaf9-eb2b2c33f4b6,,,,7,,,,1,1,,,1,,,10,10,Doutorado,,4,4,10,,,,16,,1,45,Ana Maria Carvalho dos Santos,2008,UEFS,1.25,2003,2009,2001,2000,2015,,2003.0,
84,e91cccab-ceb8-48c3-b443-206c3468afa6,1,,,,,,,,,1,,3,,1,3,8,Doutorado,6,15,3,1,,,,3,,1,17,Fabiany Cruz Gonzaga,2018,UESB,0.745,,2018,2019,2004,,2022,2016.0,
85,31b614d2-311c-4fc1-b371-1c517ab987ef,,,,6,6,22,6,4,,8,7,,6,19,48,167,Doutorado,8,61,2,14,4,3,,,,1,301,Márcia Helena de Melo Pereira,2005,UESB,36.96,2018,2003,2001,2000,,,2012.0,
86,f1ccf4c6-1c65-449b-a2be-1a0117d12e33,,,,7,1,8,6,20,4,6,10,10,4,9,35,104,Doutorado,,38,6,26,8,,,89,,22,104,Jose Valdir Jesus de Santana,2015,UESB,32.97,2017,2013,2009,2005,2009,,2006.0,
